review_id,rating,content,comment_title,user_name,created_at
19006270,5,,Tuyệt vời,Nguyễn Hiển,2023-01-06 14:32:47
18961977,5,Chất lượng tuyệt vời. ,Tuyệt vời,Tiến ca văn,2022-12-10 07:24:06
18864030,5,,Tuyệt vời,Vũ Tuấn anh,2022-10-14 04:21:43
18798696,5,"Chuyên nghiệp, thân thiện. ",Tuyệt vời,ĐẶNG QUỐC BẢO,2022-09-10 05:55:19
18754388,5,,Tuyệt vời,Dàm châu,2022-08-17 05:33:30
18661942,5,,Tuyệt vời,Nguyễn Thanh Vào,2022-07-05 16:32:16
18470606,5,"Chuyên nghiệp, thân thiện. ",Tuyệt vời,vu duong dinh,2022-04-16 08:11:49
18469638,5,Đẹp như mô tả. Chất lượng tuyệt vời. Giá tốt. ,Tuyệt vời,nguyenthi huong,2022-04-16 03:35:51
18417889,5,hàng tốt cho năm sao,Tuyệt vời,Học,2022-03-28 05:21:59
18104204,3,Chất lượng ổn. ,Tạm hài lòng,Đỗ Văn Bến,2021-12-16 05:18:26
18096187,5,,Tuyệt vời,huynh phuong Thai,2021-12-14 09:21:42
18002668,5,Chất lượng tuyệt vời. ,Tuyệt vời,Nguyễn Ngọc,2021-11-19 02:44:56
17915576,2,Chất lượng cần tốt hơn. ,Chưa hài lòng,Lê Mạnh,2021-10-22 02:09:04
17899342,5,,Tuyệt vời,Huynh trong Nhan,2021-10-16 08:09:08
17853456,5,Đẹp như mô tả. ,Tuyệt vời,Đánh giá ẩn danh,2021-09-27 00:13:55
17517568,5,"Chuyên nghiệp, thân thiện. Đóng gói kỹ lưỡng. Giá tốt. Giao hàng nhanh bất ngờ. ",Tuyệt vời,Hungg Nguyenn Van,2021-06-25 02:36:42
16958538,5,Đẹp như mô tả. ,Tuyệt vời,Dũng Phạm Tuấn,2021-04-26 15:02:28
16504218,5,Hàng ok,Tuyệt vời,HỨA TUẤN KIỆT,2021-03-07 22:31:33
16486849,5,,Tuyệt vời,Le Duong,2021-03-05 13:28:44
16476626,5,"Chuyên nghiệp, thân thiện. ",Tuyệt vời,NGUYỄN TRỌNG TÁM,2021-03-04 10:57:27
16473271,5,Giá tốt. ,Tuyệt vời,nguyễn van thưởng,2021-03-04 04:54:22
16028423,5,Giá tốt. Giao hàng nhanh bất ngờ. ,Tuyệt vời,Quân Lưu Hồng,2021-01-19 03:50:52
15906834,5,,Tuyệt vời,tuan khuu van,2021-01-12 05:52:59
15717210,5,"Chuyên nghiệp, thân thiện. Đẹp như mô tả. Đóng gói kỹ lưỡng. Chất lượng tuyệt vời. Giá tốt. Giao hàng nhanh bất ngờ. ",Tuyệt vời,Minh Thang,2021-01-01 14:18:52
14980633,2,,Chưa hài lòng,lê vũ,2020-11-21 15:07:29
14751782,5,Đóng gói kỹ lưỡng. ,Tuyệt vời,Trần Thanh Thảo,2020-11-10 08:09:22
14530471,5,Đóng gói kỹ lưỡng. Chất lượng tuyệt vời. ,Tuyệt vời,Trần Tuấn anh,2020-10-26 05:22:39
14484430,5,"Chuyên nghiệp, thân thiện. Đẹp như mô tả. Đóng gói kỹ lưỡng. Chất lượng tuyệt vời. Giá tốt. Giao hàng nhanh bất ngờ. ",Tuyệt vời,0*** ,2020-10-21 15:58:33
14212329,5,"Dao cạo ngọt, sắc, rẻ mà tốt",Tuyệt vời,Hướng Dương,2020-10-02 16:51:48
13979494,5,"Chuyên nghiệp, thân thiện. Đẹp như mô tả. Đóng gói kỹ lưỡng. Chất lượng tuyệt vời. Giá tốt. Giao hàng nhanh bất ngờ. Dao cạo shop này chuẩn. mọi người cẩn thận khi mua hàng 36k rẻ tiền. dao chuẩn khi bấm lưỡi sẽ bay ra mà k dính lại cán như loại đểu. Cạo êm như chính hãng.",Tuyệt vời,Văn Trình,2020-09-15 16:50:22
13697584,5,"Dao sắc nên cạo khá sạch, khác hẳn loại 36k hôm trước mình mua, mọi người nên mua ở đây, đắt chút nhưng yên tâm.",Tuyệt vời,Văn Trình,2020-08-22 00:26:51
13355454,5,Chất lượng tuyệt vời. Giá tốt. ,Tuyệt vời,Phương Paris,2020-07-28 15:32:19
5658762,5,Gửi sản phẩm/vé dịch vụ nhanh. ,Tuyệt vời,Đặng Trần Kiên,2019-05-29 01:57:40
